
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|        6,388,092.00 |              156.54 |    0.0% |  103,809,033.17 |   25,302,963.88 |  4.103 |  14,680,068.88 |    0.0% |      1.22 | `len=9`
|        5,771,860.26 |              173.25 |    0.1% |   93,323,272.95 |   22,859,263.68 |  4.083 |  13,631,492.68 |    0.0% |      1.10 | `len=8`
|        4,798,873.31 |              208.38 |    0.0% |   82,837,512.67 |   18,997,160.37 |  4.361 |  12,582,916.38 |    0.0% |      0.92 | `len=7`
|        4,051,453.69 |              246.82 |    0.2% |   72,351,752.44 |   16,027,079.81 |  4.514 |  11,534,340.17 |    0.0% |      0.77 | `len=6`
|        3,355,811.26 |              297.99 |    0.0% |   61,865,992.24 |   13,272,963.75 |  4.661 |  10,485,763.94 |    0.0% |      0.64 | `len=5`
|        2,662,978.35 |              375.52 |    0.1% |   51,380,232.06 |   10,533,925.18 |  4.878 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|        1,873,447.29 |              533.78 |    0.1% |   40,894,471.81 |    7,425,282.24 |  5.507 |   8,388,611.50 |    0.0% |      0.36 | `len=3`
|        1,322,200.31 |              756.32 |    0.0% |   30,408,711.62 |    5,246,419.81 |  5.796 |   7,340,035.33 |    0.0% |      0.25 | `len=2`
|          793,746.21 |            1,259.85 |    0.0% |   15,728,647.47 |    3,147,327.29 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       15,196,289.56 |               65.81 |    0.0% |  180,355,083.79 |   60,263,508.78 |  2.993 |  24,117,255.50 |    0.0% |      2.90 | `len=18`
|       13,909,787.65 |               71.89 |    0.0% |  170,917,899.41 |   55,160,511.24 |  3.099 |  23,068,679.12 |    0.0% |      2.66 | `len=17`
|       13,126,863.67 |               76.18 |    0.0% |  161,480,715.19 |   52,060,694.56 |  3.102 |  22,020,102.89 |    0.0% |      2.51 | `len=16`
|       12,327,428.05 |               81.12 |    0.0% |  152,043,530.94 |   48,874,993.41 |  3.111 |  20,971,526.65 |    0.0% |      2.35 | `len=15`
|       11,021,705.62 |               90.73 |    0.2% |  142,606,346.53 |   43,714,018.81 |  3.262 |  19,922,950.25 |    0.0% |      2.11 | `len=14`
|        9,850,414.94 |              101.52 |    0.0% |  133,169,162.19 |   39,050,441.50 |  3.410 |  18,874,373.89 |    0.0% |      1.88 | `len=13`
|        9,077,662.18 |              110.16 |    0.0% |  123,731,977.94 |   35,979,575.38 |  3.439 |  17,825,797.67 |    0.0% |      1.73 | `len=12`
|        7,989,940.11 |              125.16 |    0.0% |  114,294,793.63 |   31,662,730.71 |  3.610 |  16,777,221.35 |    0.0% |      1.53 | `len=11`
|        7,180,675.06 |              139.26 |    0.0% |  104,857,609.39 |   28,445,781.47 |  3.686 |  15,728,645.11 |    0.0% |      1.37 | `len=10`
|        6,338,329.50 |              157.77 |    0.0% |   95,420,425.12 |   25,106,150.56 |  3.801 |  14,680,068.83 |    0.0% |      1.21 | `len=9`
|        5,616,381.47 |              178.05 |    0.2% |   85,983,240.89 |   22,232,303.24 |  3.867 |  13,631,492.63 |    0.0% |      1.07 | `len=8`
|        4,789,575.72 |              208.79 |    0.0% |   76,546,056.67 |   18,963,028.06 |  4.037 |  12,582,916.38 |    0.0% |      0.92 | `len=7`
|        4,102,436.06 |              243.76 |    0.0% |   67,108,872.47 |   16,233,562.29 |  4.134 |  11,534,340.18 |    0.0% |      0.78 | `len=6`
|        3,460,650.42 |              288.96 |    0.0% |   57,671,688.28 |   13,691,131.16 |  4.212 |  10,485,764.00 |    0.0% |      0.66 | `len=5`
|        2,674,621.35 |              373.88 |    0.1% |   48,234,504.05 |   10,580,270.00 |  4.559 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|        2,074,745.68 |              481.99 |    0.1% |   38,797,319.84 |    8,222,173.50 |  4.719 |   8,388,611.56 |    0.0% |      0.40 | `len=3`
|        1,387,790.47 |              720.57 |    0.1% |   29,360,135.65 |    5,503,246.81 |  5.335 |   7,340,035.37 |    0.0% |      0.27 | `len=2`
|          793,479.18 |            1,260.27 |    0.0% |   15,728,647.47 |    3,147,354.75 |  4.997 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-2  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       13,509,249.16 |               74.02 |    0.0% |  150,994,968.29 |   53,586,460.50 |  2.818 |  22,020,103.00 |    0.0% |      2.58 | `len=18`
|       12,498,940.06 |               80.01 |    0.0% |  141,557,784.00 |   49,554,234.17 |  2.857 |  20,971,526.69 |    0.0% |      2.39 | `len=17`
|       12,164,619.06 |               82.21 |    0.0% |  128,974,871.89 |   48,254,739.00 |  2.673 |  19,922,950.61 |    0.0% |      2.32 | `len=16`
|       11,114,398.67 |               89.97 |    0.0% |  119,537,687.58 |   44,081,096.68 |  2.712 |  18,874,374.29 |    0.0% |      2.12 | `len=15`
|        9,539,111.76 |              104.83 |    0.0% |  111,149,079.12 |   37,803,853.12 |  2.940 |  17,825,797.81 |    0.0% |      1.82 | `len=14`
|        7,959,667.95 |              125.63 |    0.0% |  102,760,470.61 |   31,508,197.47 |  3.261 |  16,777,221.32 |    0.0% |      1.52 | `len=13`
|        6,901,936.37 |              144.89 |    0.0% |   94,371,862.31 |   27,325,076.00 |  3.454 |  15,728,645.00 |    0.0% |      1.32 | `len=12`
|        6,580,331.95 |              151.97 |    0.0% |   88,080,406.22 |   26,053,343.68 |  3.381 |  14,680,068.94 |    0.0% |      1.26 | `len=11`
|        5,699,837.71 |              175.44 |    0.0% |   81,788,949.94 |   22,552,235.00 |  3.627 |  13,631,492.65 |    0.0% |      1.09 | `len=10`
|        5,147,457.94 |              194.27 |    0.0% |   74,448,917.78 |   20,366,261.47 |  3.656 |  12,582,916.50 |    0.0% |      0.98 | `len=9`
|        4,385,487.12 |              228.02 |    0.0% |   68,157,461.56 |   17,347,512.00 |  3.929 |  11,534,340.25 |    0.0% |      0.84 | `len=8`
|        3,989,661.37 |              250.65 |    0.0% |   61,866,005.44 |   15,782,337.50 |  3.920 |  10,485,764.16 |    0.0% |      0.76 | `len=7`
|        3,379,365.06 |              295.91 |    0.0% |   56,623,125.24 |   13,367,311.12 |  4.236 |   9,437,187.94 |    0.0% |      0.65 | `len=6`
|        2,874,865.79 |              347.84 |    0.0% |   49,283,093.12 |   11,372,080.00 |  4.334 |   8,388,611.81 |    0.0% |      0.55 | `len=5`
|        2,387,624.75 |              418.83 |    0.0% |   42,991,636.94 |    9,449,351.42 |  4.550 |   7,340,035.65 |    0.0% |      0.46 | `len=4`
|        2,135,926.63 |              468.18 |    0.0% |   36,700,180.88 |    8,471,570.94 |  4.332 |   6,291,459.58 |    0.0% |      0.41 | `len=3`
|        2,304,094.56 |              434.01 |    0.0% |   30,408,724.94 |    9,138,098.75 |  3.328 |   5,242,883.62 |    0.0% |      0.44 | `len=2`
|        2,114,471.12 |              472.93 |    0.0% |   23,068,692.88 |    8,390,774.39 |  2.749 |   3,145,731.56 |    0.0% |      0.40 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-range-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:--------------
|       14,709,618.50 |               67.98 |    0.0% |  180,355,083.65 |   58,343,002.50 |  3.091 |  24,117,255.35 |    0.0% |      2.81 | `len=18`
|       13,910,346.41 |               71.89 |    0.0% |  170,917,899.41 |   55,167,779.31 |  3.098 |  23,068,679.12 |    0.0% |      2.66 | `len=17`
|       13,019,125.72 |               76.81 |    0.0% |  161,480,715.12 |   51,632,297.71 |  3.128 |  22,020,102.84 |    0.0% |      2.49 | `len=16`
|       12,086,457.21 |               82.74 |    0.0% |  152,043,530.88 |   47,930,159.47 |  3.172 |  20,971,526.56 |    0.0% |      2.31 | `len=15`
|       10,860,751.29 |               92.07 |    0.1% |  142,606,346.50 |   43,066,152.41 |  3.311 |  19,922,950.22 |    0.0% |      2.07 | `len=14`
|        9,822,171.89 |              101.81 |    0.0% |  133,169,162.18 |   38,941,319.00 |  3.420 |  18,874,373.89 |    0.0% |      1.88 | `len=13`
|        8,953,146.50 |              111.69 |    0.0% |  123,731,977.94 |   35,486,030.61 |  3.487 |  17,825,797.63 |    0.0% |      1.71 | `len=12`
|        8,036,332.71 |              124.43 |    0.0% |  114,294,793.65 |   31,848,959.88 |  3.589 |  16,777,221.35 |    0.0% |      1.53 | `len=11`
|        7,171,734.59 |              139.44 |    0.0% |  104,857,609.38 |   28,405,941.71 |  3.691 |  15,728,645.11 |    0.0% |      1.37 | `len=10`
|        6,329,257.38 |              158.00 |    0.0% |   95,420,425.12 |   25,067,291.00 |  3.807 |  14,680,068.83 |    0.0% |      1.21 | `len=9`
|        5,832,284.25 |              171.46 |    0.1% |   85,983,241.00 |   23,097,697.62 |  3.723 |  13,631,492.71 |    0.0% |      1.11 | `len=8`
|        4,878,653.87 |              204.97 |    0.0% |   76,546,056.69 |   19,319,299.21 |  3.962 |  12,582,916.41 |    0.0% |      0.93 | `len=7`
|        4,098,426.32 |              244.00 |    0.2% |   67,108,872.47 |   16,218,248.37 |  4.138 |  11,534,340.18 |    0.0% |      0.78 | `len=6`
|        3,433,626.56 |              291.24 |    0.0% |   57,671,688.29 |   13,583,095.89 |  4.246 |  10,485,764.00 |    0.0% |      0.66 | `len=5`
|        2,688,276.44 |              371.99 |    0.2% |   48,234,504.06 |   10,637,236.72 |  4.534 |   9,437,187.75 |    0.0% |      0.51 | `len=4`
|        2,084,589.82 |              479.71 |    0.1% |   38,797,319.88 |    8,257,106.53 |  4.699 |   8,388,611.56 |    0.0% |      0.40 | `len=3`
|        1,405,036.44 |              711.73 |    0.0% |   29,360,135.65 |    5,574,130.74 |  5.267 |   7,340,035.37 |    0.0% |      0.27 | `len=2`
|          794,047.44 |            1,259.37 |    0.0% |   16,777,223.47 |    3,147,279.44 |  5.331 |   4,194,307.18 |    0.0% |      0.15 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | swar-16    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,118,741.28 |               98.83 |    0.0% |  145,752,077.28 |   40,037,294.33 |  3.640 |  13,631,494.00 |    0.0% |      1.93 | `len=18`
|       11,738,993.12 |               85.19 |    0.1% |  147,849,229.76 |   46,489,174.00 |  3.180 |  13,631,494.47 |    0.0% |      2.24 | `len=17`
|        9,121,838.82 |              109.63 |    0.0% |  132,120,589.00 |   36,090,954.25 |  3.661 |  12,582,917.69 |    0.0% |      1.74 | `len=16`
|       10,602,848.00 |               94.31 |    0.1% |  134,217,741.41 |   41,976,398.06 |  3.197 |  12,582,918.12 |    0.0% |      2.02 | `len=15`
|        8,154,561.71 |              122.63 |    0.0% |  118,489,100.68 |   32,266,483.83 |  3.672 |  11,534,341.39 |    0.0% |      1.56 | `len=14`
|        9,725,106.56 |              102.83 |    0.0% |  120,586,253.17 |   38,548,188.19 |  3.128 |  11,534,341.88 |    0.0% |      1.86 | `len=13`
|        7,186,066.89 |              139.16 |    0.1% |  104,857,612.39 |   28,442,730.67 |  3.687 |  10,485,765.11 |    0.0% |      1.37 | `len=12`
|        9,130,333.81 |              109.53 |    0.2% |  106,954,765.00 |   36,194,111.19 |  2.955 |  10,485,765.69 |    0.0% |      1.74 | `len=11`
|        6,363,286.06 |              157.15 |    0.0% |   91,226,124.18 |   25,186,931.62 |  3.622 |   9,437,188.88 |    0.0% |      1.22 | `len=10`
|        8,056,410.56 |              124.12 |    0.0% |   93,323,276.65 |   31,971,055.37 |  2.919 |   9,437,189.35 |    0.0% |      1.54 | `len=9`
|        5,273,536.50 |              189.63 |    0.1% |   77,594,635.81 |   20,872,986.56 |  3.717 |   8,388,612.53 |    0.0% |      1.01 | `len=8`
|        7,103,836.53 |              140.77 |    0.0% |   79,691,788.35 |   28,206,991.78 |  2.825 |   8,388,613.06 |    0.0% |      1.36 | `len=7`
|        4,199,680.67 |              238.11 |    0.0% |   63,963,147.50 |   16,628,807.56 |  3.847 |   7,340,036.21 |    0.0% |      0.80 | `len=6`
|        6,357,783.19 |              157.29 |    0.1% |   66,060,300.12 |   25,242,344.56 |  2.617 |   7,340,036.83 |    0.0% |      1.21 | `len=5`
|        3,267,578.89 |              306.04 |    0.0% |   50,331,659.22 |   12,930,814.81 |  3.892 |   6,291,459.94 |    0.0% |      0.62 | `len=4`
|        5,361,956.06 |              186.50 |    0.0% |   52,428,811.83 |   21,275,433.05 |  2.464 |   6,291,460.56 |    0.0% |      1.02 | `len=3`
|        2,227,880.31 |              448.86 |    0.0% |   36,700,170.89 |    8,841,408.47 |  4.151 |   5,242,883.61 |    0.0% |      0.43 | `len=2`
|        4,656,322.87 |              214.76 |    0.0% |   37,748,747.62 |   18,473,055.50 |  2.043 |   5,242,884.33 |    0.0% |      0.89 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | swar-16-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,615,835.00 |               94.20 |    0.0% |  156,237,833.42 |   42,012,564.71 |  3.719 |  19,922,950.12 |    0.0% |      2.03 | `len=18`
|       10,615,859.94 |               94.20 |    0.0% |  156,237,833.44 |   42,021,349.47 |  3.718 |  19,922,950.12 |    0.0% |      2.03 | `len=17`
|        9,753,665.33 |              102.53 |    0.0% |  140,509,193.18 |   38,597,405.21 |  3.640 |  17,825,797.88 |    0.0% |      1.86 | `len=16`
|        9,765,782.00 |              102.40 |    0.0% |  140,509,193.19 |   38,663,456.69 |  3.634 |  17,825,797.88 |    0.0% |      1.87 | `len=15`
|        8,817,986.12 |              113.40 |    0.0% |  124,780,552.88 |   34,903,583.44 |  3.575 |  15,728,645.59 |    0.0% |      1.68 | `len=14`
|        8,811,161.89 |              113.49 |    0.0% |  124,780,552.88 |   34,902,465.11 |  3.575 |  15,728,645.59 |    0.0% |      1.68 | `len=13`
|        7,961,311.05 |              125.61 |    0.1% |  109,051,912.62 |   31,517,203.25 |  3.460 |  13,631,493.33 |    0.0% |      1.52 | `len=12`
|        7,728,416.16 |              129.39 |    0.0% |  109,051,912.56 |   30,613,800.25 |  3.562 |  13,631,493.26 |    0.0% |      1.48 | `len=11`
|        6,761,905.22 |              147.89 |    0.1% |   93,323,272.28 |   26,768,471.67 |  3.486 |  11,534,341.00 |    0.0% |      1.30 | `len=10`
|        6,677,841.47 |              149.75 |    0.0% |   93,323,272.24 |   26,447,675.63 |  3.529 |  11,534,340.94 |    0.0% |      1.28 | `len=9`
|        5,990,217.22 |              166.94 |    0.0% |   77,594,632.06 |   23,734,049.39 |  3.269 |   9,437,188.75 |    0.0% |      1.14 | `len=8`
|        5,873,494.94 |              170.26 |    0.0% |   77,594,632.00 |   23,281,990.65 |  3.333 |   9,437,188.71 |    0.0% |      1.12 | `len=7`
|        5,170,878.06 |              193.39 |    0.2% |   61,865,991.78 |   20,503,507.83 |  3.017 |   7,340,036.50 |    0.0% |      0.99 | `len=6`
|        5,105,636.24 |              195.86 |    0.0% |   61,865,991.76 |   20,254,784.24 |  3.054 |   7,340,036.47 |    0.0% |      0.98 | `len=5`
|        4,439,919.62 |              225.23 |    0.2% |   46,137,351.56 |   17,616,799.88 |  2.619 |   5,242,884.28 |    0.0% |      0.85 | `len=4`
|        4,417,474.44 |              226.37 |    0.4% |   46,137,351.56 |   17,534,634.38 |  2.631 |   5,242,884.28 |    0.0% |      0.84 | `len=3`
|        3,577,550.06 |              279.52 |    0.0% |   30,408,711.31 |   14,194,629.00 |  2.142 |   3,145,732.00 |    0.0% |      0.68 | `len=2`
|        3,579,610.33 |              279.36 |    0.0% |   30,408,711.31 |   14,203,801.78 |  2.141 |   3,145,732.00 |    0.0% |      0.68 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | swar-32    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        8,303,709.79 |              120.43 |    0.0% |  103,809,034.74 |   32,852,132.74 |  3.160 |  11,534,341.44 |    0.0% |      1.59 | `len=18`
|        8,271,815.67 |              120.89 |    0.0% |  103,809,034.71 |   32,716,191.47 |  3.173 |  11,534,341.42 |    0.0% |      1.58 | `len=17`
|        5,959,585.65 |              167.80 |    0.0% |   85,983,242.00 |   23,560,525.37 |  3.649 |   9,437,188.72 |    0.0% |      1.14 | `len=16`
|        7,376,850.00 |              135.56 |    0.0% |   88,080,394.44 |   29,177,996.05 |  3.019 |  10,485,765.17 |    0.0% |      1.41 | `len=15`
|        7,411,701.31 |              134.92 |    0.0% |   88,080,394.44 |   29,326,358.94 |  3.003 |  10,485,765.17 |    0.0% |      1.42 | `len=14`
|        7,401,096.61 |              135.12 |    0.0% |   88,080,394.44 |   29,285,593.38 |  3.008 |  10,485,765.17 |    0.0% |      1.41 | `len=13`
|        4,827,437.88 |              207.15 |    0.1% |   70,254,601.68 |   19,082,161.56 |  3.682 |   8,388,612.39 |    0.0% |      0.92 | `len=12`
|        6,566,599.00 |              152.29 |    0.8% |   72,351,754.22 |   25,980,571.12 |  2.785 |   9,437,188.94 |    0.0% |      1.26 | `len=11`
|        6,625,716.19 |              150.93 |    0.6% |   72,351,754.22 |   26,223,967.44 |  2.759 |   9,437,188.94 |    0.0% |      1.26 | `len=10`
|        6,456,097.94 |              154.89 |    0.0% |   72,351,754.18 |   25,574,440.71 |  2.829 |   9,437,188.88 |    0.0% |      1.23 | `len=9`
|        3,677,099.58 |              271.95 |    0.0% |   54,525,961.33 |   14,540,841.31 |  3.750 |   7,340,036.06 |    0.0% |      0.70 | `len=8`
|        5,424,471.78 |              184.35 |    0.0% |   56,623,113.88 |   21,495,652.24 |  2.634 |   8,388,612.56 |    0.0% |      1.04 | `len=7`
|        5,496,216.75 |              181.94 |    0.2% |   56,623,113.88 |   21,797,159.00 |  2.598 |   8,388,612.59 |    0.0% |      1.05 | `len=6`
|        5,412,966.71 |              184.74 |    0.0% |   56,623,113.84 |   21,477,592.83 |  2.636 |   8,388,612.56 |    0.0% |      1.03 | `len=5`
|        2,460,001.21 |              406.50 |    0.0% |   38,797,320.95 |    9,732,552.76 |  3.986 |   6,291,459.68 |    0.0% |      0.47 | `len=4`
|        4,418,583.12 |              226.32 |    0.2% |   39,845,897.56 |   17,521,545.62 |  2.274 |   7,340,036.28 |    0.0% |      0.85 | `len=3`
|        4,428,383.72 |              225.82 |    0.5% |   39,845,897.56 |   17,558,364.39 |  2.269 |   7,340,036.28 |    0.0% |      0.85 | `len=2`
|        4,438,025.67 |              225.33 |    0.4% |   39,845,897.58 |   17,596,629.83 |  2.264 |   7,340,036.29 |    0.0% |      0.85 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | swar-64    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        6,782,388.17 |              147.44 |    0.2% |   88,080,413.28 |   26,813,279.39 |  3.285 |   9,437,189.00 |    0.0% |      1.29 | `len=18`
|        6,608,487.25 |              151.32 |    0.0% |   88,080,413.22 |   26,134,348.50 |  3.370 |   9,437,188.94 |    0.0% |      1.26 | `len=17`
|        4,340,529.06 |              230.39 |    0.0% |   67,108,892.53 |   17,163,637.00 |  3.910 |   7,340,036.24 |    0.0% |      0.83 | `len=16`
|        5,609,669.50 |              178.26 |    0.0% |   67,108,892.89 |   22,184,992.06 |  3.025 |   8,388,612.62 |    0.0% |      1.07 | `len=15`
|        5,577,918.42 |              179.28 |    0.0% |   67,108,892.89 |   22,063,148.67 |  3.042 |   8,388,612.61 |    0.0% |      1.07 | `len=14`
|        5,632,296.17 |              177.55 |    0.3% |   67,108,892.94 |   22,278,657.12 |  3.012 |   8,388,612.63 |    0.0% |      1.08 | `len=13`
|        5,569,986.56 |              179.53 |    0.1% |   67,108,892.89 |   22,036,584.83 |  3.045 |   8,388,612.61 |    0.0% |      1.07 | `len=12`
|        5,585,072.31 |              179.05 |    0.2% |   67,108,892.89 |   22,093,268.62 |  3.038 |   8,388,612.62 |    0.0% |      1.07 | `len=11`
|        5,584,788.56 |              179.06 |    0.1% |   67,108,892.89 |   22,092,277.31 |  3.038 |   8,388,612.62 |    0.0% |      1.07 | `len=10`
|        5,541,469.50 |              180.46 |    0.0% |   67,108,892.89 |   21,927,286.11 |  3.061 |   8,388,612.61 |    0.0% |      1.06 | `len=9`
|        2,873,379.62 |              348.02 |    0.0% |   46,137,372.11 |   11,364,966.65 |  4.060 |   6,291,459.81 |    0.0% |      0.55 | `len=8`
|        4,481,653.65 |              223.13 |    0.0% |   44,040,220.56 |   17,741,147.71 |  2.482 |   7,340,036.28 |    0.0% |      0.86 | `len=7`
|        4,485,835.95 |              222.92 |    0.0% |   44,040,220.58 |   17,769,295.35 |  2.478 |   7,340,036.29 |    0.0% |      0.86 | `len=6`
|        4,478,506.76 |              223.29 |    0.0% |   44,040,220.56 |   17,759,560.71 |  2.480 |   7,340,036.28 |    0.0% |      0.86 | `len=5`
|        4,476,664.94 |              223.38 |    0.0% |   44,040,220.58 |   17,764,921.88 |  2.479 |   7,340,036.29 |    0.0% |      0.86 | `len=4`
|        4,472,011.28 |              223.61 |    0.0% |   44,040,220.56 |   17,747,728.50 |  2.481 |   7,340,036.28 |    0.0% |      0.85 | `len=3`
|        4,476,177.35 |              223.40 |    0.0% |   44,040,220.59 |   17,762,412.16 |  2.479 |   7,340,036.29 |    0.0% |      0.85 | `len=2`
|        4,474,646.63 |              223.48 |    0.0% |   44,040,220.59 |   17,755,382.29 |  2.480 |   7,340,036.29 |    0.0% |      0.85 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | pre-16     
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        7,672,012.81 |              130.34 |    0.0% |   98,566,166.53 |   30,337,496.53 |  3.249 |  13,631,493.25 |    0.0% |      1.47 | `len=18`
|        7,650,706.12 |              130.71 |    0.0% |   98,566,166.53 |   30,241,538.89 |  3.259 |  13,631,493.24 |    0.0% |      1.46 | `len=17`
|        7,062,782.18 |              141.59 |    0.1% |   90,177,558.35 |   27,919,728.35 |  3.230 |  12,582,917.06 |    0.0% |      1.35 | `len=16`
|        7,041,883.44 |              142.01 |    0.1% |   90,177,558.35 |   27,844,898.06 |  3.239 |  12,582,917.06 |    0.0% |      1.34 | `len=15`
|        6,351,684.67 |              157.44 |    0.0% |   81,788,950.12 |   25,118,348.56 |  3.256 |  11,534,340.84 |    0.0% |      1.21 | `len=14`
