
|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-0      
|        1,056,900.84 |              946.16 |    0.0% |   18,874,375.56 |    4,195,707.06 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,371,023.69 |              729.38 |    0.0% |   28,311,559.65 |    5,438,576.50 |  5.206 |   4,194,306.29 |    0.0% |      0.26 | `len=2`
|        1,057,555.16 |              945.58 |    0.0% |   18,874,375.56 |    4,195,673.88 |  4.499 |   3,145,730.19 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-m10    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,366,607.50 |               96.46 |    0.1% |  145,752,074.33 |   41,062,383.00 |  3.550 |  18,874,373.00 |    0.0% |      1.98 | `len=16`
|        7,801,236.67 |              128.18 |    0.0% |  112,197,641.59 |   30,887,165.94 |  3.633 |  14,680,068.24 |    0.0% |      1.49 | `len=12`
|        4,970,472.33 |              201.19 |    0.2% |   78,643,208.72 |   19,670,497.11 |  3.998 |  10,485,763.38 |    0.0% |      0.95 | `len=8`
|        2,639,100.44 |              378.92 |    0.0% |   45,088,776.06 |   10,445,546.05 |  4.317 |   6,291,458.69 |    0.0% |      0.50 | `len=4`
|        1,057,881.56 |              945.29 |    0.1% |   18,874,375.56 |    4,195,800.89 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,371,353.06 |              729.21 |    0.0% |   28,311,559.65 |    5,440,193.69 |  5.204 |   4,194,306.29 |    0.0% |      0.26 | `len=2`
|        1,057,162.88 |              945.93 |    0.0% |   18,874,375.56 |    4,195,793.11 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-and    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,407,589.33 |               96.08 |    0.0% |  161,480,714.37 |   41,226,986.37 |  3.917 |  18,874,373.00 |    0.0% |      1.99 | `len=16`
|        7,835,409.26 |              127.63 |    0.1% |  123,731,977.59 |   31,023,744.84 |  3.988 |  14,680,068.24 |    0.0% |      1.50 | `len=12`
|        5,216,388.88 |              191.70 |    0.2% |   85,983,240.79 |   20,643,633.06 |  4.165 |  10,485,763.44 |    0.0% |      1.00 | `len=8`
|        2,529,123.19 |              395.39 |    0.6% |   48,234,504.00 |   10,012,179.88 |  4.818 |   6,291,458.63 |    0.0% |      0.48 | `len=4`
|        1,057,773.44 |              945.38 |    0.0% |   19,922,951.56 |    4,195,761.44 |  4.748 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,324,718.44 |              754.88 |    0.0% |   29,360,135.62 |    5,253,950.75 |  5.588 |   4,194,306.28 |    0.0% |      0.25 | `len=2`
|        1,058,264.58 |              944.94 |    0.1% |   19,922,951.56 |    4,195,786.12 |  4.748 |   3,145,730.22 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-xor    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       11,261,471.82 |               88.80 |    0.0% |  179,306,506.61 |   44,630,931.31 |  4.018 |  18,874,373.26 |    0.0% |      2.15 | `len=16`
|        8,354,863.05 |              119.69 |    0.1% |  137,363,465.74 |   33,107,141.83 |  4.149 |  14,680,068.39 |    0.0% |      1.60 | `len=12`
|        5,539,019.28 |              180.54 |    0.2% |   95,420,424.89 |   21,935,833.61 |  4.350 |  10,485,763.56 |    0.0% |      1.06 | `len=8`
|        2,762,402.95 |              362.00 |    0.8% |   53,477,384.06 |   10,930,446.00 |  4.893 |   6,291,458.71 |    0.0% |      0.53 | `len=4`
|        1,057,436.37 |              945.68 |    0.0% |   20,971,527.56 |    4,195,967.94 |  4.998 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,585,963.67 |              630.53 |    0.0% |   32,505,863.71 |    6,293,897.19 |  5.165 |   4,194,306.37 |    0.0% |      0.30 | `len=2`
|        1,057,791.47 |              945.37 |    0.0% |   20,971,527.56 |    4,195,794.59 |  4.998 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-range  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        9,853,340.95 |              101.49 |    0.2% |  130,023,434.18 |   39,022,009.42 |  3.332 |  18,874,372.83 |    0.0% |      1.88 | `len=16`
|        7,507,063.12 |              133.21 |    0.1% |  100,663,305.50 |   29,730,719.29 |  3.386 |  14,680,068.12 |    0.0% |      1.43 | `len=12`
|        4,967,861.11 |              201.29 |    0.3% |   71,303,176.72 |   19,667,476.58 |  3.625 |  10,485,763.38 |    0.0% |      0.95 | `len=8`
|        2,413,897.17 |              414.27 |    0.0% |   41,943,047.94 |    9,550,839.35 |  4.392 |   6,291,458.61 |    0.0% |      0.46 | `len=4`
|        1,057,544.11 |              945.59 |    0.0% |   18,874,375.56 |    4,195,758.37 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,377,315.35 |              726.05 |    0.0% |   27,262,983.65 |    5,462,319.12 |  4.991 |   4,194,306.29 |    0.0% |      0.26 | `len=2`
|        1,057,715.75 |              945.43 |    0.0% |   18,874,375.56 |    4,195,809.00 |  4.498 |   3,145,730.21 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-range-1
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        9,971,938.81 |              100.28 |    0.1% |  128,974,858.24 |   39,493,533.06 |  3.266 |  18,874,372.88 |    0.0% |      1.90 | `len=16`
|        7,456,683.44 |              134.11 |    0.1% |   99,614,729.47 |   29,518,770.94 |  3.375 |  14,680,068.12 |    0.0% |      1.43 | `len=12`
|        5,050,897.18 |              197.98 |    0.6% |   70,254,600.75 |   19,991,105.47 |  3.514 |  10,485,763.39 |    0.0% |      0.96 | `len=8`
|        2,358,425.18 |              424.01 |    0.1% |   40,894,471.94 |    9,332,675.37 |  4.382 |   6,291,458.61 |    0.0% |      0.45 | `len=4`
|        1,057,191.65 |              945.90 |    0.0% |   17,825,799.53 |    4,195,768.56 |  4.249 |   3,145,730.19 |    0.0% |      0.20 | `len=1`
|        1,323,457.39 |              755.60 |    0.0% |   26,214,407.62 |    5,249,339.32 |  4.994 |   4,194,306.28 |    0.0% |      0.25 | `len=2`
|        1,057,935.29 |              945.24 |    0.2% |   17,825,799.56 |    4,195,800.83 |  4.248 |   3,145,730.22 |    0.0% |      0.21 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub    
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,677,460.74 |               93.66 |    0.0% |  144,703,498.44 |   42,294,677.18 |  3.421 |  18,874,373.11 |    0.0% |      2.04 | `len=16`
|        7,876,696.12 |              126.96 |    0.0% |  111,149,065.61 |   31,181,774.84 |  3.565 |  14,680,068.25 |    0.0% |      1.51 | `len=12`
|        5,098,126.72 |              196.15 |    0.1% |   77,594,632.76 |   20,175,589.59 |  3.846 |  10,485,763.41 |    0.0% |      0.97 | `len=8`
|        2,639,923.00 |              378.80 |    0.0% |   44,040,200.00 |   10,453,141.06 |  4.213 |   6,291,458.67 |    0.0% |      0.50 | `len=4`
|        1,057,861.29 |              945.30 |    0.0% |   17,825,799.56 |    4,195,876.50 |  4.248 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,402,573.24 |              712.98 |    0.0% |   27,262,983.65 |    5,562,977.95 |  4.901 |   4,194,306.31 |    0.0% |      0.27 | `len=2`
|        1,057,725.76 |              945.42 |    0.0% |   17,825,799.56 |    4,195,829.61 |  4.248 |   3,145,730.19 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-goto   
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|       10,619,971.35 |               94.16 |    0.2% |  141,557,770.44 |   42,066,637.59 |  3.365 |  18,874,373.06 |    0.0% |      2.03 | `len=16`
|        7,950,916.82 |              125.77 |    0.2% |  108,003,337.61 |   31,492,925.18 |  3.429 |  14,680,068.26 |    0.0% |      1.52 | `len=12`
|        5,084,065.33 |              196.69 |    0.1% |   74,448,904.76 |   20,124,432.12 |  3.699 |  10,485,763.41 |    0.0% |      0.97 | `len=8`
|        2,653,771.65 |              376.82 |    0.0% |   40,894,472.00 |   10,501,835.16 |  3.894 |   6,291,458.68 |    0.0% |      0.51 | `len=4`
|        1,057,990.72 |              945.19 |    0.0% |   14,680,071.56 |    4,195,938.76 |  3.499 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,446,230.67 |              691.45 |    0.1% |   24,117,255.67 |    5,733,055.06 |  4.207 |   4,194,306.31 |    0.0% |      0.28 | `len=2`
|        1,058,128.58 |              945.06 |    0.0% |   14,680,071.56 |    4,195,714.61 |  3.499 |   3,145,730.19 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-1  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        9,798,859.00 |              102.05 |    0.1% |  128,974,858.18 |   38,800,338.31 |  3.324 |  18,874,372.83 |    0.0% |      1.87 | `len=16`
|        7,675,980.22 |              130.28 |    0.1% |   99,614,729.53 |   30,389,456.11 |  3.278 |  14,680,068.19 |    0.0% |      1.47 | `len=12`
|        5,077,862.11 |              196.93 |    0.1% |   70,254,600.76 |   20,103,021.69 |  3.495 |  10,485,763.42 |    0.0% |      0.97 | `len=8`
|        2,384,175.83 |              419.43 |    0.1% |   40,894,471.94 |    9,435,103.18 |  4.334 |   6,291,458.61 |    0.0% |      0.46 | `len=4`
|        1,057,544.50 |              945.59 |    0.0% |   17,825,799.56 |    4,195,826.31 |  4.248 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
|        1,322,169.05 |              756.33 |    0.0% |   26,214,407.62 |    5,245,486.21 |  4.998 |   4,194,306.28 |    0.0% |      0.25 | `len=2`
|        1,057,851.00 |              945.31 |    0.0% |   17,825,799.56 |    4,195,842.75 |  4.248 |   3,145,730.19 |    0.0% |      0.20 | `len=1`

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | isd-sub-2  
|--------------------:|--------------------:|--------:|----------------:|----------------:|-------:|---------------:|--------:|----------:|:------------
|        8,939,059.89 |              111.87 |    0.0% |  111,149,065.94 |   35,377,596.44 |  3.142 |  19,922,948.59 |    0.0% |      1.71 | `len=16`
|        6,570,487.41 |              152.20 |    0.0% |   85,983,241.21 |   26,011,484.29 |  3.306 |  15,728,643.88 |    0.0% |      1.25 | `len=12`
|        4,198,919.71 |              238.16 |    0.1% |   60,817,416.50 |   16,615,859.81 |  3.660 |  11,534,339.16 |    0.0% |      0.80 | `len=8`
|        2,202,194.29 |              454.09 |    0.1% |   35,651,591.89 |    8,709,860.22 |  4.093 |   7,340,034.56 |    0.0% |      0.43 | `len=4`
|        1,057,742.18 |              945.41 |    0.0% |   16,777,223.56 |    4,196,349.81 |  3.998 |   3,145,730.19 |    0.0% |      0.20 | `len=1`
|        1,322,658.17 |              756.05 |    0.0% |   23,068,679.62 |    5,247,123.18 |  4.396 |   5,242,882.28 |    0.0% |      0.25 | `len=2`
|        1,058,060.56 |              945.13 |    0.0% |   16,777,223.56 |    4,196,330.63 |  3.998 |   3,145,730.21 |    0.0% |      0.20 | `len=1`
